DATE,INFLATION
01-04-12,2.26
01-05-12,2.14
01-06-12,2.12
01-07-12,2.13
01-08-12,2.27
01-09-12,2.43
01-10-12,2.5
01-11-12,2.42
01-12-12,2.48
01-01-13,2.52
01-02-13,2.55
01-03-13,2.55
01-04-13,2.41
01-05-13,2.29
01-06-13,2.05
01-07-13,2.12
01-08-13,2.19
01-09-13,2.15
01-10-13,2.19
01-11-13,2.17
01-12-13,2.16
01-01-14,2.23
01-02-14,2.16
01-03-14,2.16
01-04-14,2.17
01-05-14,2.19
01-06-14,2.23
01-07-14,2.26
01-08-14,2.2
01-09-14,2.07
01-10-14,1.92
01-11-14,1.88
01-12-14,1.7
01-01-15,1.61
01-02-15,1.72
01-03-15,1.76
01-04-15,1.86
01-05-15,1.87
01-06-15,1.86
01-07-15,1.82
01-08-15,1.61
01-09-15,1.52
01-10-15,1.5
01-11-15,1.57
01-12-15,1.51
01-01-16,1.42
01-02-16,1.31
01-03-16,1.55
01-04-16,1.62
01-05-16,1.6
01-06-16,1.47
01-07-16,1.46
01-08-16,1.47
01-09-16,1.51
01-10-16,1.66
01-11-16,1.82
01-12-16,1.93
01-01-17,2.01
01-02-17,2.02
01-03-17,1.99
01-04-17,1.91
01-05-17,1.83
01-06-17,1.73
01-07-17,1.77
01-08-17,1.78
01-09-17,1.83
01-10-17,1.86
01-11-17,1.85
01-12-17,1.9
01-01-18,2.04
01-02-18,2.1
01-03-18,2.09
01-04-18,2.13
01-05-18,2.14
01-06-18,2.12
01-07-18,2.12
01-08-18,2.1
01-09-18,2.12
01-10-18,2.11
01-11-18,2.01
01-12-18,1.81
01-01-19,1.79
01-02-19,1.88
01-03-19,1.91
01-04-19,1.94
01-05-19,1.83
01-06-19,1.7
01-07-19,1.75
01-08-19,1.59
01-09-19,1.59
01-10-19,1.56
01-11-19,1.64
01-12-19,1.72
01-01-20,1.72
01-02-20,1.62
01-03-20,0.99
01-04-20,1.1
01-05-20,1.12
01-06-20,1.27
01-07-20,1.46
01-08-20,1.66
01-09-20,1.66
01-10-20,1.7
01-11-20,1.71
01-12-20,1.92
01-01-21,2.08
01-02-21,2.18
01-03-21,2.28
01-04-21,2.35
01-05-21,2.47
01-06-21,2.34
01-07-21,2.33
01-08-21,2.35
01-09-21,2.34
01-10-21,2.53
01-11-21,2.62
01-12-21,2.46
01-01-22,2.45
01-02-22,2.46
01-03-22,2.85
01-04-22,2.88
